nombre,categoria,kcal_100g,proteina_100g,carbos_100g,grasa_100g,precio_kg,unidad_por_defecto,gramos_por_unidad
"Grelo",verdura,20.7,2.6,0.61,0.3,,gramos,
"Haba fresca",verdura,20.8,2.7,0.1,0.2,,gramos,
"Lechuga",verdura,90.7,6.9,11.3,0.9,,gramos,
"Nopal",verdura,50.4,5.4,4.2,0.2,,gramos,
"Pimiento rojo",verdura,36.4,2.4,4.2,0.58,,gramos,
"Puerro",verdura,19.6,1.4,1.4,0.6,,gramos,
"Rúcula",verdura,26.6,1.5,3.5,0.18,,gramos,
"Tomate, Cherry",verdura,23.6,1.3,3.3,0.09,,gramos,
"Espinaca congelada",verdura,33.1,1.3,4.2,0.9,,gramos,
"Judía verde congelada",verdura,19.7,0.63,1.6,0.8,,gramos,
"Acelga en conserva",verdura,32.1,1.7,4.1,0.45,,gramos,
"Apio en conserva",verdura,32.3,0.5,5.9,0.3,,gramos,
"Cardo en conserva",verdura,26,1.7,3.2,0.4,,gramos,
"Espárrago de lata",verdura,15.8,0.76,2.1,0.11,,gramos,
"Guisante en conserva",verdura,22.5,1.5,2.4,0.3,,gramos,
"Menestra en conserva",verdura,18.8,1.9,1.5,0.31,,gramos,
"Pimiento del piquillo en conserva",verdura,27.8,3.1,2.3,0.4,,gramos,
"Pimiento rojo asado en conserva",verdura,88.9,5.3,12.4,0.9,,gramos,
"Tomate frito en conserva",verdura,15.1,1.2,1.6,0.1,,gramos,
"Tomate triturado",verdura,48.3,2,8.5,0.32,,gramos,
"Zumo de tomate natural",verdura,32.2,1.2,5.2,0.4,,gramos,
"Boniato",verdura,33,1.2,5.4,0.4,,gramos,
"Harina de tapioca",verdura,38.1,1.2,5.4,0.7,,gramos,
"Patata nueva",verdura,78.3,0.82,9.9,3.5,,gramos,
"Patata vieja",verdura,78.7,2.2,16.1,0.21,,gramos,
"Remolacha",verdura,17.3,1.1,2.1,0.14,,gramos,
"Yuca, mandioca, casava",verdura,46.1,1.6,8.4,0.1,,gramos,
"Remolacha en conserva",verdura,164,1.4,38.1,0.3,,gramos,
"Champiñón",verdura,39.1,2.3,6.4,0.1,,gramos,
"Trufa cruda",verdura,26.8,0.8,4.2,0.2,,gramos,
"Hongos desecados, shiitake",verdura,23.8,1.6,0.2,0.8,,gramos,
"Alga agar desecada",verdura,21.4,3.4,0.07,0.5,,gramos,
"Alga Kelp cruda",verdura,344,9.6,68.4,0.99,,gramos,
"Alga Laver cruda",verdura,29,0.54,6.4,0.03,,gramos,
"Alga musgo de Irlanda cruda",verdura,336,6.2,73.2,0.3,,gramos,
"Alga Spirulina cruda",verdura,37.1,5.9,2.4,0.39,,gramos,
"Alga Wakame desecada",verdura,53.6,3,8.7,0.64,,gramos,
"Aguacate",fruta,233,1.9,0.4,23.5,,gramos,
"Arándano",fruta,41.4,0.88,8.5,0.1,,gramos,
"Carambola",fruta,42.1,0.63,6.1,0.6,,gramos,
"Chirimoya",fruta,74.2,0.63,16,0.3,,gramos,
"Coco fresco",fruta,31,0.5,6.3,0,,gramos,
"Fresa y fresón",fruta,62.1,0.88,13.3,0.31,,gramos,
"Grosella negra",fruta,72.7,1.3,14.1,0.7,,gramos,
"Guayaba",fruta,48.1,0.63,10.2,0.17,,gramos,
"Kiwi",fruta,384,4.6,4.8,36.5,,gramos,
"Limón",fruta,36.9,1.3,4.9,0.3,,gramos,
"Mandarina",fruta,32.2,0.81,5.5,0.4,,gramos,
"Mango",fruta,61.2,0.63,12.8,0.45,,gramos,
"Maracuyá",fruta,54.1,0.31,11.4,0.36,,gramos,
"Melón",fruta,54.2,2.4,9.5,0.4,,gramos,
"Mora",fruta,50.8,1,10.3,0.2,,gramos,
"Nectarina",fruta,55.5,0.88,12.4,0.1,,gramos,
"Papaya",fruta,47.3,0.44,7.3,0.5,,gramos,
"Piña",fruta,45,1.2,6.2,1,,gramos,
"Plátano macho o hartón",fruta,45.5,0.87,8.9,0.2,,gramos,
"Sandía",fruta,49.7,0.9,10.2,0.1,,gramos,
"Uva blanca",fruta,42.6,0.56,8.6,0.2,,gramos,
"Albaricoque seco (orejones)",fruta,49.4,0.43,10.6,0.1,,gramos,
"Coco rallado",fruta,50.8,0.44,10.4,0.4,,gramos,
"Higo seco",fruta,272,3.6,55.1,1.3,,gramos,
"Pasa",fruta,257,3,53.2,0.76,,gramos,
"Almendra frita salada sin cáscara",fruto_seco,610,18.7,5.4,54.1,,gramos,
"Almendra tostada sin cáscara",fruto_seco,618,19,3.8,55.2,,gramos,
"Avellana con cáscara",fruto_seco,610,18.7,5.4,54.1,,gramos,
"Cacahuete sin cáscara",fruto_seco,578,17.5,30.5,42.2,,gramos,
"Castaña",fruto_seco,661,12,10.5,61.6,,gramos,
"Chufa",fruta,661,12,10.5,61.6,,gramos,
"Nueces pecanas sin cáscara",fruto_seco,563,25.2,7.9,46,,gramos,
"Nuez sin cáscara",fruto_seco,627,24.5,8.9,53,,gramos,
"Piñón sin cáscara",fruta,563,25.2,7.9,46,,gramos,
"Pipa de girasol pelada sin sal",fruta,615,23.9,14,49.7,,gramos,
"Pipa de girasol sin sal",fruta,569,19.8,12.3,47.5,,gramos,
"Pipas de calabaza sin cáscara tostadas sin sal",fruto_seco,635,29.9,14.7,49.1,,gramos,
"Pistacho",fruto_seco,603,17.7,11.6,51.6,,gramos,
"Pistacho tostado salado",fruto_seco,613,18,12.5,52.7,,gramos,
"Semilla de lino",fruta,514,18.3,1.6,42.2,,gramos,
"Semilla de sésamo",fruta,605,17.7,15.8,49.7,,gramos,
"Compota de manzana",fruta,81.3,0.2,19.1,0.1,,gramos,
"Crema de almendras",fruto_seco,341,4.6,50.7,13.2,,gramos,
"Crema de cacahuete",fruto_seco,619,30.1,13.6,47.8,,gramos,
"Dulce de membrillo y pastas de frutas",fruta,259,1,62.2,0,,gramos,
"Lichi en conserva",fruta,117,0.9,27,0.3,,gramos,
"Macedonia de frutas en almíbar",fruta,68.6,0.62,15.8,0.1,,gramos,
"Macedonia de frutas en su jugo",fruta,63.1,0.7,14.5,0.03,,gramos,
"Melocotón en almíbar",fruta,58.6,0.38,14.2,0.03,,gramos,
"Mermelada de albaricoque y melocotón",fruta,258,0.32,63.2,0.2,,gramos,
"Mermelada de albaricoque y melocotón baja en",fruta,30,0.7,5.4,0,,gramos,
"Mermelada de cereza",fruta,251,0.38,60.9,0.16,,gramos,
"Mermelada de ciruela",fruta,251,0.31,59.6,0.63,,gramos,
"Mermelada de frambuesa",fruta,251,0.45,60.9,0.3,,gramos,
"Mermelada de fresa",fruta,255,0.31,62.6,0.2,,gramos,
"Mermelada de fresa baja en calorías",fruta,33,0.7,6.4,0,,gramos,
"Mermelada de mora",fruta,239,0.5,58.7,0,,gramos,
"Mermelada de naranja",fruta,234,0.38,58,0,,gramos,
"Mermelada de tomate",fruta,197,0.56,48,0.14,,gramos,
"Pera en almíbar",fruta,62.9,0.25,14.5,0.1,,gramos,
"Piña en su jugo",fruta,65.8,0.38,15.4,0.11,,gramos,
"Leche concentrada",lacteo,132,6.5,9.3,7.6,,gramos,
"Leche condensada desnatada con azúcar",lacteo,336,8.5,52.8,10.1,,gramos,
"Leche de oveja",lacteo,282,10,60,0.2,,gramos,
"Leche de vaca entera",lacteo,66.7,3.7,4.2,3.9,,gramos,
"Leche desnatada sin lactosa",lacteo,96.7,5.3,4.7,6.3,,gramos,
"Leche en polvo entera",lacteo,37,3.9,4.9,0.2,,gramos,
"Leche entera sin lactosa",lacteo,65.4,3.1,4.7,3.8,,gramos,
"Leche materna calostro",lacteo,47.6,3.5,4.8,1.6,,gramos,
"Leche materna transicional",lacteo,36.6,3.9,4.8,0.2,,gramos,
"Leche semidesnatada sin lactosa",lacteo,352,36.1,50.4,0.64,,gramos,
"Kéfir",lacteo,63.9,3.3,4.8,3.5,,gramos,
"Leche fermentada con lactobacillus acidophilus",lacteo,98.5,3.1,14.1,3.3,,gramos,
"Leche fermentada con lactobacillus casei",lacteo,88.3,3,11.7,3.3,,gramos,
"Leche fermentada con lactobacillus casei de",lacteo,93.7,3,13,3.3,,gramos,
"Leche fermentada tipo bio con frutas",lacteo,84.9,4,13.4,1.7,,gramos,
"Leche fermentada tipo bio desnatado con frutas",lacteo,53,4.7,8.5,0.021,,gramos,
"Leche fermentada tipo bio desnatado natural",lacteo,42.7,4.9,5.1,0.3,,gramos,
"Leche fermentada tipo bio natural",lacteo,62.6,3.6,4.4,3.4,,gramos,
"Yogur desnatado con cereales",lacteo,56.5,4.6,6.9,1.1,,gramos,
"Yogur desnatado con fruta",lacteo,71.6,3.8,13.1,0.2,,gramos,
"Yogur desnatado de sabores",lacteo,90.1,3.8,16.7,0.9,,gramos,
"Yogur desnatado natural",lacteo,45.3,4.3,6.3,0.32,,gramos,
"Yogur desnatado natural azucarado",lacteo,75.9,4.5,13.8,0.3,,gramos,
"Yogur desnatado natural edulcorado",lacteo,40.5,4.3,5.1,0.32,,gramos,
"Yogur entero con cereales",lacteo,89.6,3.9,9.1,3.8,,gramos,
"Yogur entero con fruta",lacteo,94.9,3.8,14.3,2.3,,gramos,
"Yogur entero de sabores",lacteo,115,5.4,15.6,3.4,,gramos,
"Yogur entero natural azucarado",lacteo,85.9,3.5,13.7,1.9,,gramos,
"Yogur líquido con pulpa de fruta",lacteo,81.9,2.8,14.3,1.5,,gramos,
"Yogur líquido de sabores",lacteo,75.4,2.9,12.8,1.4,,gramos,
"Yogur líquido natural azucarado",lacteo,69.2,3,11.6,1.2,,gramos,
"Yogur natural entero",lacteo,61.4,4,5.5,2.6,,gramos,
"Yogur sin lactosa natural azucarado",lacteo,70.7,3.5,9.9,1.9,,gramos,
"Yogur tipo griego",lacteo,139,6.4,5.4,10.2,,gramos,
"Queso Brie",lacteo,342,22.6,0.1,27.9,,gramos,
"Queso Cheddar",lacteo,285,21,0.1,22.3,,gramos,
