nombre,categoria,kcal_100g,proteina_100g,carbos_100g,grasa_100g,precio_kg,unidad_por_defecto,gramos_por_unidad
"Margarina",grasa_aceite,517,3.3,1.9,55.1,,gramos,
"Margarina de maíz",grasa_aceite,736,0.89,0.7,81.1,,gramos,
"Margarina salada",grasa_aceite,722,0.2,0.4,80,,gramos,
"Manteca de cacao",grasa_aceite,740,0.9,4,80,,gramos,
"Agua corriente",bebida,731,0.5,0.4,80.8,,gramos,
"Agua sin gas embotellada",bebida,900,0,0,100,,gramos,
"Gaseosa",bebida,891,0,0,99,,gramos,
"Limonada",bebida,0,0,0,0,,gramos,
"Refresco aroma lima-limón",bebida,58.4,0,14.6,0,,gramos,
"Refresco de té bajo en calorías",bebida,36.4,0,9.1,0,,gramos,
"Refresco sabor cola bajo en calorías",bebida,0,0,0,0,,gramos,
"Refresco sabor cola sin cafeína bajo en calorías",bebida,43.6,0,10.9,0,,gramos,
"Refresco sabor naranja",bebida,0.4,0,0.1,0,,gramos,
"Tónica",bebida,43.2,0,10.8,0,,gramos,
"Café capuccino en polvo soluble",bebida,45.6,0,11.4,0,,gramos,
"Café descafeinado en polvo soluble",bebida,42,0,10.5,0,,gramos,
"Café en grano",bebida,35.2,0,8.8,0,,gramos,
"Café líquido",bebida,36.8,0,9.2,0,,gramos,
"Infusión genérica",bebida,10.6,0.5,2.4,0.6,,gramos,
"Té",bebida,396,10.6,60.8,11.4,,gramos,
"Bebida isotónica",bebida,54.4,0,7.1,0,,gramos,
"Néctar de frutas envasado",bebida,42,0.4,13.2,0,,gramos,
"Sorbete de limón",bebida,47.1,0.9,34.2,0,,gramos,
"Zumo comercial de naranja",bebida,43.6,0.63,9.4,0.2,,gramos,
"Zumo comercial sabor frutas tropicales",bebida,68.1,0.3,14.9,0,,gramos,
"Zumo de mango",bebida,52.8,0.1,9.8,0.2,,gramos,
"Zumo de manzana",bebida,17.2,0.063,11.9,0.11,,gramos,
"Zumo de melocotón",bebida,45,0.63,10.5,0.22,,gramos,
"Zumo de piña",bebida,97.3,0.38,9.7,0.08,,gramos,
"Zumo de pomelo",bebida,241,0.53,10.1,0.1,,gramos,
"anís",bebida,267,0,1,0,,gramos,
"Cava",bebida,152,0,16,0,,gramos,
"Cerveza baja en alcohol",bebida,70.5,0.2,1.5,0,,gramos,
"Champagne",bebida,42.4,0.5,3.1,0,,gramos,
"Crema de whisky",bebida,38.1,0.5,2.9,0,,gramos,
"Ginebra",bebida,25.4,0.38,5.4,0,,gramos,
"Ron",bebida,67.6,0.18,1.5,0,,gramos,
"Vermut",bebida,324,3,25,13,,gramos,
"Vino dulce (Málaga, Oporto)",bebida,109,0,7.4,0,,gramos,
"Vino rosado",bebida,221,0,0,0,,gramos,
"Vodka",bebida,224,0.1,35,0,,gramos,
"Albóndigas en conserva",otros,148,6.8,5.9,9.7,,gramos,
"Arroz tres delicias congelado",otros,115,3.4,20,1.6,,gramos,
"Base de pizza",otros,273,6.7,43.9,7.4,,gramos,
"Calamares a la romana congelados",otros,189,5.7,23.7,7.8,,gramos,
"Calamares fritos",otros,172,22,4,7.5,,gramos,
"Caldo de carne",otros,6.5,1.1,0.04,0.22,,gramos,
"Caldo de pescado",otros,15,2,0.4,0.6,,gramos,
"Caldo de pollo",otros,5,0.4,0.4,0.21,,gramos,
"Caldo de verdura",otros,30.9,0.9,4.9,0.79,,gramos,
"Caldo en cubitos de carne",otros,252,15.7,5,18.7,,gramos,
"Callos a la madrileña",otros,109,6.8,2.5,5.8,,gramos,
"Crema desecada de champiñón",otros,361,9.6,61.9,7.7,,gramos,
"Crema desecada de espárragos",otros,392,8,54,15.5,,gramos,
"Croquetas de bacalao congelada",otros,154,3.8,25,4.2,,gramos,
"Croquetas de jamón congelada",otros,153,3.8,23,4.6,,gramos,
"Croquetas de marisco congelada",otros,136,5.6,21.9,2.7,,gramos,
"Croquetas de merluza congelada",otros,140,3.5,21.3,3.8,,gramos,
"Croquetas de pollo congeladas",otros,160,5.8,21,5.3,,gramos,
"Croquetas de queso congelada",otros,131,4.3,20.6,3.3,,gramos,
"Delicias de jamón y queso congeladas",otros,207,5.1,24.9,9.1,,gramos,
"Empanadilla de atún congelada",otros,265,4.8,31.7,12,,gramos,
"Espinacas a la crema congeladas",otros,65.1,2.8,4.7,3.5,,gramos,
"Carne empanada, pasteles de carne (congelados)",otros,0.001,0.005,0,6,,gramos,
"Fabada en conserva",otros,156,6.1,9.3,8.8,,gramos,
"Gazpacho en conserva",otros,39.8,0.6,3,2.8,,gramos,
"Hummus",otros,174,7.9,11,9.6,,gramos,
"Kebab",otros,341,17.1,25.9,18.8,,gramos,
"Lasaña de carne y besamel congelada",otros,150,6.3,13,7.9,,gramos,
"Paella de marisco congelada",otros,125,3.6,25.2,0.62,,gramos,
"Patatas prefritas congeladas",otros,115,2.1,20,2.4,,gramos,
"Pescado empanado, pasteles de pescado",otros,180,12.6,15.2,7.5,,gramos,
"Pisto de verduras congelado",otros,57,2.9,8.8,0.15,,gramos,
"Pizza de atún congelada",otros,219,8,23,9.8,,gramos,
"Pizza margarita congelada",otros,237,8.2,32.6,7.8,,gramos,
"Pizza romana congelada",otros,177,7.3,26.5,3.8,,gramos,
"Pollo empanado congelado",otros,242,18,13.5,12.7,,gramos,
"Puré de patatas para reconstituir",otros,353,6.5,76,1,,gramos,
"San Jacobo congelado",otros,252,4.1,26.7,13.3,,gramos,
"Sopa de ave con fideos para reconstituir",otros,326,11,66,1.5,,gramos,
"Sopa jardinera para reconstituir",otros,270,0,59,1.5,,gramos,
"Aceituna negra con hueso",otros,156,0.5,0,16,,gramos,
"Aceituna negra sin hueso",otros,156,0.5,0,16,,gramos,
"Aceituna rellena de anchoa",otros,121,1.3,0,12.3,,gramos,
"Aceituna verde con hueso",otros,167,0.8,1,16.7,,gramos,
"Aceituna verde sin hueso",otros,167,0.8,1,16.7,,gramos,
"Alcaparra",otros,28.7,2.4,2.1,0.86,,gramos,
"Berenjenas encurtidas",otros,27,0.7,2.8,1,,gramos,
"Corteza de trigo",otros,468,3.2,67.3,19.8,,gramos,
"Galleta salada",otros,521,9.1,57,28,,gramos,
"Palomitas de maíz",otros,466,6.2,64,20,,gramos,
"Patatas fritas de bolsa",otros,470,6.6,71.1,17.4,,gramos,
"Pepinillos en vinagre en conserva",otros,520,5.6,58,29,,gramos,
"Albahaca fresca",otros,349,1.6,85.5,0.1,,gramos,
"Azafrán",otros,531,6.5,47.5,34.2,,gramos,
"Cardamomo, semillas",otros,462,6.6,57.4,21.5,,gramos,
"Cebollino",otros,10.5,1.3,1.1,0.1,,gramos,
"Clavo",otros,503,6.5,56.3,27.7,,gramos,
"Comino",otros,391,17.8,33.7,18.2,,gramos,
"Jengibre crudo",otros,89.7,2.7,0.14,8.7,,gramos,
"Laurel",otros,47.3,1.9,6.7,1.1,,gramos,
"Levadura de panadería fresca",otros,20.2,1.1,2.3,0,,gramos,
"Menta fresca",otros,32.9,1.1,3.4,1.1,,gramos,
"Orégano fresco",otros,336,9.1,58.3,4.2,,gramos,
"Perejil",otros,353,7.6,48.7,8.4,,gramos,
"Pimienta blanca",otros,164,27.8,11.8,0,,gramos,
"Sal común",otros,73,16,0,1,,gramos,
"Sal hiposódica",otros,324,12.7,32.4,7,,gramos,
"Sal yodada fluorada",otros,67.3,3.8,6.9,0.94,,gramos,
"Semillas de alcaravea",otros,334,19.8,11.9,14.6,,gramos,
"Vinagre balsámico",otros,51.6,0.06,12.7,0.06,,gramos,
"Vinagre de vino",otros,4,0.4,0.6,0,,gramos,
"Gelatina",otros,2.4,0.4,0.2,0,,gramos,
"Mayonesa comercial",otros,4,0.4,0.6,0,,gramos,
"Mostaza",otros,796,0.5,2.8,86.9,,gramos,
"Salsa al curry",otros,338,84.4,0,0,,gramos,
"Salsa bechamel",otros,117,2,26,0.4,,gramos,
"Salsa brava",otros,709,1.3,5.8,75.6,,gramos,
"Salsa césar",otros,272,0.7,8.8,26,,gramos,
"Salsa de soja",otros,125,7.1,5,8.2,,gramos,
"Salsa inglesa",otros,121,0.48,24,2.4,,gramos,
"Salsa picante",otros,13.1,0.5,1.8,0.37,,gramos,
"Salsa roquefort",otros,480,7.2,6,47.5,,gramos,
"Salsa tabasco",otros,12,1.3,0.8,0.76,,gramos,
"Salsa tamari",otros,66.9,10.5,5.6,0.1,,gramos,
"Salsa tártara",otros,209,1,13.3,16.7,,gramos,
"Salsa vinagreta",otros,648,0.2,0.2,71.8,,gramos,
"Sofrito",otros,215,1.1,4.7,21,,gramos,
"Aspartamo",otros,365,1.4,93.7,0,,gramos,
"Batido hipocalórico",otros,322,26.9,37,4.6,,gramos,
"Crema hipocalórica",otros,262,23,30,3.8,,gramos,
"Edulcorante líquido",otros,4,0,1,0,,gramos,
"Sacarina",otros,364,2,89.1,0,,gramos,
"Leche de continuación (polvo)",otros,511,12.9,60.1,24.3,,gramos,
"Leche de inicio (polvo)",otros,522,11.4,58.9,26.8,,gramos,
"Papilla de cereales con leche (polvo)",otros,419,15.5,68,9,,gramos,
"Papilla sin gluten con leche (polvo)",otros,403,15.3,66.8,8.3,,gramos,
"Potito de fruta variada",otros,73.5,0.6,17,0.1,,gramos,
"Potito de pollo",otros,74.6,3.6,6,3.8,,gramos,
